rank,province,region,gdp_in_billion_rp,gdp_in_billion_usd,gdp_ppp_in_billion_usd,latitude,longitude,lat_long
1,Jakarta,Java,3186470,214.59,669.63,-6.175247,106.8270488,"-6.175247,106.8270488"
2,East Java,Java,2730907,183.91,573.89,-7.6977397,112.4914199,"-7.6977397,112.4914199"
3,West Java,Java,2422782,163.16,509.14,-6.8891904,107.6404716,"-6.8891904,107.6404716"
4,Central Java,Java,1560899,105.12,328.02,-7.3032412,110.0044145,"-7.3032412,110.0044145"
5,Riau,Sumatra,991589,66.78,208.38,0.5004112,101.5475811,"0.5004112,101.5475811"
6,North Sumatra,Sumatra,955193,64.33,200.73,2.1923519,99.3812201,"2.1923519,99.3812201"
7,East Kalimantan,Kalimantan,921332,62.05,193.62,0.7884397,116.2419977,"0.7884397,116.2419977"
8,Banten,Java,747250,50.32,157.03,-6.4453801,106.1375586,"-6.4453801,106.1375586"
9,South Sulawesi,Sulawesi,605145,40.75,124.32,-3.6446718,119.9471906,"-3.6446718,119.9471906"
10,South Sumatra,Sumatra,591603,39.84,124.32,-3.1266842,104.0930554,"-3.1266842,104.0930554"
11,Lampung,Sumatra,414131,27.89,87.03,-4.8555039,105.0272986,"-4.8555039,105.0272986"
12,Central Sulawesi,Sulawesi,323617,21.79,68.01,-1.6937786,120.8088555,"-1.6937786,120.8088555"
13,Riau Islands,Sumatra,308843,20.8,64.9,-0.1547846,104.5803745,"-0.1547846,104.5803745"
14,West Sumatra,Sumatra,285379,19.22,59.97,-0.5827529,100.6133379,"-0.5827529,100.6133379"
15,Jambi,Sumatra,276316,18.61,58.07,-1.6394711,102.9454264,"-1.6394711,102.9454264"
16,Papua,Western New Guinea,262516,17.68,55.17,-2.4749149,138.08485,"-2.4749149,138.08485"
17,West Kalimantan,Kalimantan,255797,17.23,53.76,-0.1322387,111.0968901,"-0.1322387,111.0968901"
18,South Kalimantan,Kalimantan,251256,16.92,52.8,-2.9285686,115.3700718,"-2.9285686,115.3700718"
19,Bali,Lesser Sunda Islands,245233,16.52,51.54,-8.3304977,115.0906401,"-8.3304977,115.0906401"
20,Aceh,Sumatra,211750,14.26,44.5,4.3685491,97.0253024,"4.3685491,97.0253024"
21,Central Kalimantan,Kalimantan,199948,13.47,42.02,-1.499583,113.2903307,"-1.499583,113.2903307"
22,Special Region of Yogyakarta,Java,165690,11.16,34.82,-7.9778384,110.3672257,"-7.9778384,110.3672257"
23,Southeast Sulawesi,Sulawesi,158761,10.69,33.36,-3.5491199,121.7279646,"-3.5491199,121.7279646"
24,North Sulawesi,Sulawesi,157028,10.58,33.0,0.6555692,124.090151,"0.6555692,124.090151"
25,West Nusa Tenggara,Lesser Sunda Islands,156944,10.57,32.98,-8.7892855,117.146169,"-8.7892855,117.146169"
26,North Kalimantan,Kalimantan,138718,9.34,29.15,3.0235817,116.2049306,"3.0235817,116.2049306"
27,East Nusa Tenggara,Lesser Sunda Islands,118718,8.0,24.95,-8.5656787,120.6978581,"-8.5656787,120.6978581"
28,Bangka Belitung Islands,Sumatra,95285,6.42,20.02,-2.7052886,106.3585607,"-2.7052886,106.3585607"
29,West Papua,Western New Guinea,91292,6.15,19.18,-2.8553556,133.4738171,"-2.8553556,133.4738171"
30,Bengkulu,Sumatra,90112,6.07,18.94,-3.5186763,102.5359834,"-3.5186763,102.5359834"
31,North Maluku,Maluku Islands,70903,4.77,14.9,0.6301215,127.9720219,"0.6301215,127.9720219"
32,West Sulawesi,Sulawesi,54071,3.64,11.36,-2.4974546,119.3918955,"-2.4974546,119.3918955"
33,Maluku,Maluku Islands,53692,3.62,11.28,-2.5842259,127.4789451,"-2.5842259,127.4789451"
34,Gorontalo,Sulawesi,47574,3.2,10.0,0.7186174,122.4555927,"0.7186174,122.4555927"
